Degree,Field,SubField,COLLEGE,DURATION,COLLEGE FEE,NIRF AND OTHER RANK(2022),MIN MARKS FOR ELIGIBILITY,QUALIFIED DEGREE,Deadline ,ENTRANCE NAME AND DURATION,EXAM DETAILS,TEST DATE,APPLICATION PROCESS,APPLICATION FEE,SELECTION PROCESS,INTAKE,LINK,Scholarships/Fellowships,Unnamed: 19
Masters,Chemical and Petrochemicals,Chemical Engineering,NIT Rourkela,2 Years,₹ 1.78 L,"OVERALL #39, ENGINEERING #15","6.5 CGPA (on a 10-point scale) or 60% for GEN/OBC, 6.0 CGPA (on a 10-point scale) or 55% in case of SC/ST/ PwD candidates",B.E./B.Tech. degree in Computer Science & Engineering/ Information Technology,,"GATE, 3 Hours","General Aptitude (GA), Candidate Selected Subject, 65 Questions (including 10 questions from General Aptitude), https://gate.iitk.ac.in/",,"1) Initial selection through gate, 2) After a valid GATE score, candidate has to apply for CCMT counselling.",,"1)GATE, 2)CCMT COUNSELLING PROCESS",25.0,"https://www.nitrkl.ac.in/#, https://gate.iitk.ac.in/",,
Masters,Mechanical Engineering,Cryogenic and Vacuum Technology,NIT Rourkela,2 Years,₹ 1.78 L,"OVERALL #39, ENGINEERING #15","6.5 CGPA (on a 10-point scale) or 60% for GEN/OBC, 6.0 CGPA (on a 10-point scale) or 55% in case of SC/ST/ PwD candidates",B.E./B.Tech. degree in Computer Science & Engineering/ Information Technology,,"GATE, 3 Hours","General Aptitude (GA), Candidate Selected Subject, 65 Questions (including 10 questions from General Aptitude), https://gate.iitk.ac.in/",,"1) Initial selection through gate, 2) After a valid GATE score, candidate has to apply for CCMT counselling.",,"1)GATE, 2)CCMT COUNSELLING PROCESS",25.0,"https://www.nitrkl.ac.in/#, https://gate.iitk.ac.in/",,
Masters,Electrical Engineering,Research Electrical Engineering,NIT Rourkela,2 Years,₹ 1.78 L,"OVERALL #39, ENGINEERING #15","6.5 CGPA (on a 10-point scale) or 60% for GEN/OBC, 6.0 CGPA (on a 10-point scale) or 55% in case of SC/ST/ PwD candidates",B.E./B.Tech. degree in Computer Science & Engineering/ Information Technology,,"GATE, 3 Hours","General Aptitude (GA), Candidate Selected Subject, 65 Questions (including 10 questions from General Aptitude), https://gate.iitk.ac.in/",,"1) Initial selection through gate, 2) After a valid GATE score, candidate has to apply for CCMT counselling.",,"1)GATE, 2)CCMT COUNSELLING PROCESS",,"https://www.nitrkl.ac.in/#, https://gate.iitk.ac.in/",,
Masters,Civil Engineering,Water Resources Engineering,NIT Rourkela,2 Years,₹ 1.78 L,OVERALL #39,6.5 CGPA (on a 10-point scale) or 60% for GEN/OBC,B.E./B.Tech. degree in Computer Science & Engineering/ Information Technology,,GATE,General Aptitude (GA),,1) Initial selection through gate,,1)GATE,25.0,https://www.nitrkl.ac.in/#,,
Masters,IT-ITeS,Computer Science,NIT Jalandhar,,2.62L,"OVERALL #85, ENGINEERING #52","6.5 CGPA (on a 10-point scale) or 60% for GEN/OBC, 6.0 CGPA (on a 10-point scale) or 55% in case of SC/ST/ PwD candidates",B.E./B.Tech. degree in Computer Science & Engineering/ Information Technology,,"GATE, 3 Hours","General Aptitude (GA), Candidate Selected Subject, 65 Questions (including 10 questions from General Aptitude), https://gate.iitk.ac.in/",,"1) Initial selection through gate, 2) After a valid GATE score, candidate has to apply for CCMT counselling.",,"1)GATE, 2)CCMT COUNSELLING PROCESS",28.0,http://www.nits.ac.in/,,
Masters,Chemical and Petrochemicals,Chemical Engineering,NIT Jalandhar,2 YEARS,2.62L,"OVERALL #85, ENGINEERING #52","6.5 CGPA (on a 10-point scale) or 60% for GEN/OBC, 6.0 CGPA (on a 10-point scale) or 55% in case of SC/ST/ PwD candidates",B.E./B.Tech. degree in Computer Science & Engineering/ Information Technology,,"GATE, 3 Hours","General Aptitude (GA), Candidate Selected Subject, 65 Questions (including 10 questions from General Aptitude), https://gate.iitk.ac.in/",,"1) Initial selection through gate, 2) After a valid GATE score, candidate has to apply for CCMT counselling.",,"1)GATE, 2)CCMT COUNSELLING PROCESS",28.0,http://www.nits.ac.in/,,
Masters,Mechanical Engineering,Mechanical Engineering,NIT Jalandhar,2 YEARS,2.62L,"OVERALL #85, ENGINEERING #52","6.5 CGPA (on a 10-point scale) or 60% for GEN/OBC, 6.0 CGPA (on a 10-point scale) or 55% in case of SC/ST/ PwD candidates",B.E./B.Tech. degree in Computer Science & Engineering/ Information Technology,,"GATE, 3 Hours","General Aptitude (GA), Candidate Selected Subject, 65 Questions (including 10 questions from General Aptitude), https://gate.iitk.ac.in/",,"1) Initial selection through gate, 2) After a valid GATE score, candidate has to apply for CCMT counselling.",,"1)GATE, 2)CCMT COUNSELLING PROCESS",28.0,http://www.nits.ac.in/,,
Masters,IT-ITeS,Computer Science,NIT Durgapur,2 Years,1.70 L,"OVERALL #72, ENGINEERING #34","6.5 CGPA (on a 10-point scale) or 60% for GEN/OBC, 6.0 CGPA (on a 10-point scale) or 55% in case of SC/ST/ PwD candidates",B.E./B.Tech. degree in Computer Science & Engineering/ Information Technology,,"GATE, 3 Hours","General Aptitude (GA), Candidate Selected Subject, 65 Questions (including 10 questions from General Aptitude), https://gate.iitk.ac.in/",,"1) Initial selection through gate, 2) After a valid GATE score, candidate has to apply for CCMT counselling.",,"1)GATE, 2)CCMT COUNSELLING PROCESS",,"https://nitdgp.ac.in/, https://gate.iitk.ac.in/",,
Masters,Chemical and Petrochemicals,Chemical Engineering,NIT Durgapur,2 Years,1.70 L,"OVERALL #72, ENGINEERING #34","6.5 CGPA (on a 10-point scale) or 60% for GEN/OBC, 6.0 CGPA (on a 10-point scale) or 55% in case of SC/ST/ PwD candidates",B.E./B.Tech. degree in Computer Science & Engineering/ Information Technology,,"GATE, 3 Hours","General Aptitude (GA), Candidate Selected Subject, 65 Questions (including 10 questions from General Aptitude), https://gate.iitk.ac.in/",,"1) Initial selection through gate, 2) After a valid GATE score, candidate has to apply for CCMT counselling.",,"1)GATE, 2)CCMT COUNSELLING PROCESS",,"https://nitdgp.ac.in/, https://gate.iitk.ac.in/",,
Masters,Mechanical Engineering,Fluid Mechanics and Heat Transfer,NIT Durgapur,2 Years,1.70 L,"OVERALL #72, ENGINEERING #34","6.5 CGPA (on a 10-point scale) or 60% for GEN/OBC, 6.0 CGPA (on a 10-point scale) or 55% in case of SC/ST/ PwD candidates",B.E./B.Tech. degree in Computer Science & Engineering/ Information Technology,,"GATE, 3 Hours","General Aptitude (GA), Candidate Selected Subject, 65 Questions (including 10 questions from General Aptitude), https://gate.iitk.ac.in/",,"1) Initial selection through gate, 2) After a valid GATE score, candidate has to apply for CCMT counselling.",,"1)GATE, 2)CCMT COUNSELLING PROCESS",20.0,"https://nitdgp.ac.in/, https://gate.iitk.ac.in/",,
Masters,Chemical and Petrochemicals,Chemical Engineering,NIT Calicut,2 YEARS,,"OVERALL #76, ENGINEERING #38","6.5 CGPA (on a 10-point scale) or 60% for GEN/OBC, 6.0 CGPA (on a 10-point scale) or 55% in case of SC/ST/ PwD candidates",B.E./B.Tech. degree in Computer Science & Engineering/ Information Technology,,"GATE, 3 Hours","General Aptitude (GA), Candidate Selected Subject, 65 Questions (including 10 questions from General Aptitude), https://gate.iitk.ac.in/",,"1) Initial selection through gate, 2) After a valid GATE score, candidate has to apply for CCMT counselling.",,"1)GATE, 2)CCMT COUNSELLING PROCESS",16.0,http://www.nits.ac.in/,,
Masters,Life Science,Biotechnology,"Mount Carmel College, Banglore",2 YEARS,https://mccblr.edu.in/courses/msc-biotechnology/,"Science(INDIA TODAY) #23, Science(OUTLOOK) #19, Science(the week) #15",aggregate of 50% marks in the core subject,B.Sc. degree in life science,,,,,https://mccblr.edu.in/procedure-criteria/,,https://mccblr.edu.in/procedure-criteria/,,https://mccblr.edu.in/,,
Masters,Physics,Physics,"Mithibai College Of Arts, Mumbai",2 Years,,"Science(INDIA TODAY) #19, Science(OUTLOOK) #17, Science(THE WEEK) #16",,,,entrance test conducted by the university,,,"Go to official university website , register, fill personal info , submit documents",,ENTRANCE,,https://mithibai.ac.in/index.aspx,,
Masters,Life Science,Biotechnology,Mithibai College,2 YEARS,INR 185000,"“A” by the NAAC, Science(INDIA TODAY) #19, Science(OUTLOOK) #17, Science(the week) #16",,B.Sc. or equivalent,,,,,,,,,https://mithibai.ac.in/,,
Masters,Chemistry,Chemistry,Mithibai College,2 Years,,“A” by the NAAC,,,,,,,,,,,https://mithibai.ac.in/,,
Masters,Mathematics,Mathematics,Mithibai College,2 YEARS,₹80000,"“A” by the NAAC, Science(INDIA TODAY) #19, Science(OUTLOOK) #17, Science(the week) #16",,,,,,,"visit the official website of Mithibai college, Then click on the ‘Register Now’ tab., Enter all the required details  to complete the registration process.,  candidate will get a username and password for the further application process.,  sign in to the portal and fill out the application form with all the details and attach all the required documents asked., Select the exam center and exam date and click on confirm to complete the application process.",,entrance test conducted by the university,,https://mithibai.ac.in/FYJC%20and%20SYJC/M__531,,
Masters,Statistics,Statistics,Mithibai College,2 YEARS,₹80000,"“A” by the NAAC, Science(INDIA TODAY) #19, Science(OUTLOOK) #17, Science(the week) #16",,B.Sc degree with relevant subjects,,,,,"visit the official website of Mithibai college, Then click on the ‘Register Now’ tab., Enter all the required details  to complete the registration process.,  candidate will get a username and password for the further application process.,  sign in to the portal and fill out the application form with all the details and attach all the required documents asked., Select the exam center and exam date and click on confirm to complete the application process.",,entrance test conducted by the university,,https://mithibai.ac.in/FYJC%20and%20SYJC/M__531,,
Masters,Aerospace Engineering,Aerospace Engineering,MIT Manipal,2 Years,3.50 L,"Overall #17, University #7",minimum 50 % aggregate marks or equivalent, BE / BTech in a relevant branch ,,MET M.Tech,https://manipal.edu/mu/admission/indian-students/online-entrance-exam-overview/test-pattern.html,10 Jun'23 - 11 Jun'23,,,"Apply Online, Manipal Entrance Test (MET), Merit List based on MET score, Counseling Process at Manipal, Admission Formalities",,https://manipal.edu/mit/program-list/mtech.html,,
Masters,Physics,Physics,Miranda House,2 Years,INR 30340,"College #1, Science(INDIA TODAY) #2, Science(OUTLOOK) #1, Science(THE WEEK) #2","at least 50%marks(for entrance qualifying exam), 60%(for merit based)",bachelor’s degree in the relevant discipline,,CUET PG,,,apply separately on the College’s PG portal and from DU portal,,"marks scored in Graduation(for DU graduates), ENTRANCE(For non DU graduates)",31.0,"https://www.mirandahouse.ac.in/admission/admissionprocess.php, https://cuet.nta.nic.in/",,
Masters,Chemistry,Chemistry,Miranda House,2 Years,INR 31540,"College #1, Science(INDIA TODAY) #2, Science(OUTLOOK) #1, Science(THE WEEK) #2","at least 50%marks(for entrance qualifying exam), 60%(for merit based)",bachelor’s degree in the relevant discipline,,CUET PG,,,apply separately on the College’s PG portal and from DU portal,,"MERIT BASED SHORTLIST, marks scored in Graduation(for DU graduates), ENTRANCE(For non DU graduates)",,"https://www.mirandahouse.ac.in/admission/admissionprocess.php, https://cuet.nta.nic.in/",,
Masters,Mathematics,Mathematics,Miranda House,2 YEARS,₹29060,"College #1, Science(INDIA TODAY) #2, Science(OUTLOOK) #1, Science(THE WEEK) #2","entrance: 55%, Merit: 60%",bachelor’s degree in the relevant discipline,,CUET PG,,,apply separately on the College’s PG portal and from DU portal,,"marks scored in Graduation(for DU graduates), ENTRANCE(For non DU graduates)",,https://www.mirandahouse.ac.in/,,
Masters,Chemistry,Chemistry,MCC Bangalore,2 Years,,"Science(INDIA TODAY) #23, Science(OUTLOOK) #19, , Science(the week) #15",aggregate of 50% marks in the core subject,graduation in relevant stream,,,,,,,,,"https://mccblr.edu.in/, https://mccblr.edu.in/list-of-programs/, , https://mccblr.edu.in/procedure-criteria/",,
Masters,Mathematics,Mathematics,MCC Bangalore,2 YEARS,,"Science(INDIA TODAY) #23, Science(OUTLOOK) #19, Science(the week) #15",aggregate of 50% marks in the core subject,graduation in relevant stream,,,,,,,,,"https://mccblr.edu.in/, https://mccblr.edu.in/list-of-programs/, https://mccblr.edu.in/procedure-criteria/",,
Masters,Mathematics,Mathematics,"Maitreyi College, Delhi",2 YEARS,₹14727,"College #34, Science(INDIA TODAY) #36, Science(OUTLOOK) #31","at least 50%marks(for entrance qualifying exam), 60%(for merit based)",bachelor’s degree in the relevant discipline,,CUET PG,,,apply separately on the College’s PG portal and from DU portal,,"marks scored in Graduation(for DU graduates), ENTRANCE(For non DU graduates)",,"http://maitreyi.ac.in/, http://maitreyi.ac.in/topics.aspx?mid=Admission%20Help",,
Masters,Physics,Physics,Madras Christian College (MCC),2 Years,"₹29,144","‘A’ grade by NAAC, Overall #17, Science(INDIA TODAY) #4, Science(OUTLOOK) #10, Science(THE WEEK) #6",minimum of 50% aggregate,bachelor’s degree in the relevant discipline,,,,,"Application forms are available on the official website., Select the category, stream, degree & course., Fill all the personal information as well as academic details., Review the form and click on ‘Save’ Button., Payment for application form is through the online payment method",,Merit-Based,,"https://mcc.edu.in/admission-2022-2023/, https://mcc.edu.in/",,
Masters,Life Science,Applied Microbiology,Madras Christian College (MCC),2 Years,,"‘A’ grade by NAAC, Overall #17, Science(INDIA TODAY) #4, Science(OUTLOOK) #10, Science(THE WEEK) #6",minimum of 50% aggregate,bachelor’s degree in the relevant discipline,,,,,"Application forms are available on the official website., Select the category, stream, degree & course., Fill all the personal information as well as academic details., Review the form and click on ‘Save’ Button., Payment for application form is through the online payment method",,MERIT BASED,,"https://mcc.edu.in/admission-2022-2023/, https://mcc.edu.in/",,
Masters,Chemistry,Chemistry,Madras Christian College (MCC),2 Years,,"‘A’ grade by NAAC, College #17, Science(INDIA TODAY) #4, Science(OUTLOOK) #10, Science(THE WEEK) #6",minimum of 50% aggregate,bachelor’s degree in the relevant discipline,,,,,"Application forms are available on the official website., Select the category, stream, degree & course., Fill all the personal information as well as academic details., Review the form and click on ‘Save’ Button., Payment for application form is through the online payment method",,Merit-Based,,"https://mcc.edu.in/undergraduate-and-post-graduate-programme/, https://mcc.edu.in/",,
Masters,Mathematics,Mathematics,Madras Christian College (MCC),2 YEARS,,"‘A’ grade by NAAC, College #17, Science(INDIA TODAY) #4, Science(OUTLOOK) #10, Science(THE WEEK) #6",minimum of 50% aggregate,bachelor’s degree in the relevant discipline,,,,,"Application forms are available on the official website., Select the category, stream, degree & course., Fill all the personal information as well as academic details., Review the form and click on ‘Save’ Button., Payment for application form is through the online payment method",,Merit-Based,,"https://mcc.edu.in/undergraduate-and-post-graduate-programme/, https://mcc.edu.in/",,
Masters,Statistics,Statistics,Madras Christian College (MCC),2 YEARS,,"‘A’ grade by NAAC, College#17, Science(INDIA TODAY) #4, Science(OUTLOOK) #10, Science(THE WEEK) #6",minimum of 50% aggregate,bachelor’s degree in the relevant discipline,,,,,"Application forms are available on the official website., Select the category, stream, degree & course., Fill all the personal information as well as academic details., Review the form and click on ‘Save’ Button., Payment for application form is through the online payment method",,Merit-Based,,"https://mcc.edu.in/undergraduate-and-post-graduate-programme/, https://mcc.edu.in/",,
Masters,Life Science,Biotechnology,"Loyola College, Chennai",2 YEARS,RS 92200,"COLLEGE #4, SCIENCE(THE WEEK) #4, SCIENCE(INDIA TODAY) #5",,"must have graduate degree (or equivalent) under, ZOOLOGY, BIOTECHNOLOGY, PLANT BIOLOGY AND BIOTECHNOLOGY, BOTANY, LIFE SCIENCE, MICROBIOLOGY, BIOCHEMISTRY, CHEMISTRY, PHYSICS, BIOPHYSICS",,PG entrance test,https://drive.google.com/file/d/1ck3rKlNRMlv31UV1tno5SlV-WwluYSKb/view,"ON COLLEGE WEBSITE, OTHER UNIVERSITY STUDENTS: ONLY ENTRANCE","1: Registration through Online Application Portal, 2: Filling-in the Basic and Specific details, 3: Attaching the Documents, 4: Payment of Application Fee","GEN: 200, SC/ST: 0","1)APPLICATION, 2)ENTRANCE, 3)INTERVIEW",,https://drive.google.com/file/d/1ck3rKlNRMlv31UV1tno5SlV-WwluYSKb/view,,
